YEAR BUILT,TEST,NEIGHBORHOOD
1959,465000,UPPER EAST SIDE (59-79)  
1959,465000,UPPER EAST SIDE (59-79)  
1965,465000,UPPER EAST SIDE (59-79)  
1916,465000,UPPER EAST SIDE (59-79)  
1920,465000,UPPER EAST SIDE (79-96)  
1928,465000,UPPER EAST SIDE (79-96)  
1941,465000,UPPER EAST SIDE (79-96)  
1915,465000,UPPER EAST SIDE (79-96)  
1963,465000,UPPER EAST SIDE (79-96)  
1910,465000,UPPER WEST SIDE (59-79)  
1905,465000,UPPER WEST SIDE (59-79)  
1964,464000,UPPER WEST SIDE (79-96)  
1959,463000,GRAMERCY                 
1989,463000,MANHATTAN VALLEY         
1920,463000,MIDTOWN WEST             
1960,462500,LOWER EAST SIDE          
1955,462500,MURRAY HILL              
1939,462500,WASHINGTON HEIGHTS UPPER 
1930,461489,GREENWICH VILLAGE-CENTRAL
1910,461370,HARLEM-CENTRAL           
1950,461000,EAST VILLAGE             
1964,461000,MURRAY HILL              
1936,461000,WASHINGTON HEIGHTS UPPER 
1940,460000,CHELSEA                  
1965,460000,FLATIRON                 
1964,460000,GRAMERCY                 
1925,460000,GRAMERCY                 
1965,460000,GRAMERCY                 
1900,460000,GREENWICH VILLAGE-CENTRAL
1957,460000,HARLEM-CENTRAL           
2004,460000,HARLEM-CENTRAL           
2004,460000,HARLEM-CENTRAL           
2006,460000,HARLEM-CENTRAL           
1965,460000,KIPS BAY                 
1960,460000,MIDTOWN CBD              
1959,460000,MIDTOWN EAST             
1940,460000,MIDTOWN EAST             
1920,460000,MIDTOWN WEST             
1920,460000,MIDTOWN WEST             
1947,460000,UPPER EAST SIDE (59-79)  
1962,460000,UPPER EAST SIDE (59-79)  
1920,460000,UPPER EAST SIDE (59-79)  
1980,460000,UPPER EAST SIDE (79-96)  
1974,460000,UPPER EAST SIDE (79-96)  
1923,460000,UPPER WEST SIDE (59-79)  
1915,460000,UPPER WEST SIDE (59-79)  
1930,460000,UPPER WEST SIDE (79-96)  
1920,460000,UPPER WEST SIDE (79-96)  
1920,460000,WASHINGTON HEIGHTS UPPER 
1925,460000,WASHINGTON HEIGHTS UPPER 
1974,459776,GREENWICH VILLAGE-WEST   
1939,459776,GREENWICH VILLAGE-WEST   
1960,459000,UPPER EAST SIDE (59-79)  
1920,459000,UPPER EAST SIDE (79-96)  
1910,458540,UPPER EAST SIDE (79-96)  
1980,458000,UPPER EAST SIDE (79-96)  
1926,457500,UPPER WEST SIDE (79-96)  
1930,456856,UPPER WEST SIDE (59-79)  
1964,456500,UPPER EAST SIDE (59-79)  
1956,456400,UPPER EAST SIDE (59-79)  
1924,456300,CIVIC CENTER             
1901,456300,MORNINGSIDE HEIGHTS      
1977,456287,MIDTOWN EAST             
1910,455500,UPPER WEST SIDE (79-96)  
1965,455000,GRAMERCY                 
1961,455000,GREENWICH VILLAGE-WEST   
2006,455000,HARLEM-EAST              
1939,455000,INWOOD                   
1965,455000,KIPS BAY                 
1910,455000,MURRAY HILL              
1964,455000,MURRAY HILL              
1955,455000,MURRAY HILL              
1941,455000,UPPER EAST SIDE (79-96)  
1980,455000,UPPER EAST SIDE (79-96)  
1963,455000,UPPER EAST SIDE (79-96)  
1942,455000,UPPER EAST SIDE (79-96)  
1924,455000,UPPER WEST SIDE (59-79)  
1926,455000,UPPER WEST SIDE (59-79)  
1931,455000,UPPER WEST SIDE (59-79)  
1956,454500,GRAMERCY                 
1974,453500,UPPER EAST SIDE (79-96)  
2009,453258,HARLEM-UPPER             
1942,453250,WASHINGTON HEIGHTS UPPER 
1986,453000,TRIBECA                  
1912,452523,UPPER WEST SIDE (59-79)  
1930,452500,GREENWICH VILLAGE-CENTRAL
1956,452000,FINANCIAL                
1920,451500,HARLEM-CENTRAL           
1904,450600,MANHATTAN VALLEY         
1920,450000,ALPHABET CITY            
1864,450000,CHELSEA                  
1950,450000,CHELSEA                  
1948,450000,CHELSEA                  
1926,450000,FINANCIAL                
1964,450000,GRAMERCY                 
1964,450000,GRAMERCY                 
1963,450000,GRAMERCY                 
1930,450000,GREENWICH VILLAGE-WEST   
1961,450000,GREENWICH VILLAGE-WEST   
1915,450000,HARLEM-CENTRAL           
1894,450000,HARLEM-CENTRAL           
1939,450000,INWOOD                   
1939,450000,INWOOD                   
1963,450000,JAVITS CENTER            
1984,450000,KIPS BAY                 
1955,450000,LOWER EAST SIDE          
1949,450000,LOWER EAST SIDE          
1960,450000,MIDTOWN EAST             
1931,450000,MIDTOWN EAST             
1929,450000,MIDTOWN EAST             
1962,450000,MIDTOWN EAST             
1989,450000,MIDTOWN WEST             
1905,450000,MORNINGSIDE HEIGHTS      
1926,450000,MORNINGSIDE HEIGHTS      
1955,450000,MURRAY HILL              
1986,450000,TRIBECA                  
1910,450000,UPPER EAST SIDE (59-79)  
1927,450000,UPPER EAST SIDE (59-79)  
1959,450000,UPPER EAST SIDE (59-79)  
1966,450000,UPPER EAST SIDE (59-79)  
1910,450000,UPPER EAST SIDE (79-96)  
1924,450000,UPPER EAST SIDE (79-96)  
1928,450000,UPPER EAST SIDE (79-96)  
1920,450000,UPPER EAST SIDE (79-96)  
1980,450000,UPPER EAST SIDE (79-96)  
1963,450000,UPPER EAST SIDE (79-96)  
1942,450000,UPPER EAST SIDE (79-96)  
1959,450000,UPPER EAST SIDE (96-110) 
1926,450000,UPPER WEST SIDE (59-79)  
1925,450000,UPPER WEST SIDE (59-79)  
1920,450000,UPPER WEST SIDE (79-96)  
1915,450000,UPPER WEST SIDE (79-96)  
1927,450000,UPPER WEST SIDE (79-96)  
1939,450000,WASHINGTON HEIGHTS UPPER 
1954,450000,WASHINGTON HEIGHTS UPPER 
1942,450000,WASHINGTON HEIGHTS UPPER 
1963,450000,WASHINGTON HEIGHTS UPPER 
1962,449500,UPPER EAST SIDE (79-96)  
1964,449000,FLATIRON                 
1962,449000,GRAMERCY                 
1965,449000,GRAMERCY                 
1926,449000,INWOOD                   
1949,449000,LOWER EAST SIDE          
1929,449000,UPPER EAST SIDE (59-79)  
1963,449000,UPPER EAST SIDE (59-79)  
1964,449000,UPPER EAST SIDE (59-79)  
1900,449000,UPPER WEST SIDE (96-116) 
1916,449000,WASHINGTON HEIGHTS UPPER 
1900,448500,MURRAY HILL              
1920,448000,SOHO                     
1920,447000,UPPER WEST SIDE (79-96)  
1925,446734,INWOOD                   
2009,446160,HARLEM-UPPER             
2012,446160,WASHINGTON HEIGHTS LOWER 
1960,445923,GREENWICH VILLAGE-WEST   
1955,445500,LOWER EAST SIDE          
1926,445315,WASHINGTON HEIGHTS UPPER 
1963,445000,GRAMERCY                 
1900,445000,GREENWICH VILLAGE-CENTRAL
1930,445000,GREENWICH VILLAGE-CENTRAL
1926,445000,HARLEM-CENTRAL           
1900,445000,LOWER EAST SIDE          
1955,445000,LOWER EAST SIDE          
1949,445000,LOWER EAST SIDE          
1981,445000,MIDTOWN EAST             
1916,445000,MURRAY HILL              
1957,445000,MURRAY HILL              
1960,445000,MURRAY HILL              
1961,445000,UPPER EAST SIDE (59-79)  
1926,445000,UPPER WEST SIDE (79-96)  
1925,445000,UPPER WEST SIDE (96-116) 
1954,445000,WASHINGTON HEIGHTS UPPER 
1939,445000,WASHINGTON HEIGHTS UPPER 
1910,444500,UPPER WEST SIDE (59-79)  
1957,443500,MIDTOWN WEST             
1925,442500,GRAMERCY                 
1938,442500,UPPER WEST SIDE (59-79)  
1955,442000,LOWER EAST SIDE          
1959,442000,MIDTOWN EAST             
1930,442000,UPPER WEST SIDE (96-116) 
1961,441250,GRAMERCY                 
1910,441151,GREENWICH VILLAGE-WEST   
1964,441000,GRAMERCY                 
1954,440435,WASHINGTON HEIGHTS UPPER 
1963,440000,CHELSEA                  
1900,440000,GREENWICH VILLAGE-CENTRAL
1960,440000,GREENWICH VILLAGE-CENTRAL
1925,440000,INWOOD                   
1955,440000,LOWER EAST SIDE          
1955,440000,LOWER EAST SIDE          
1955,440000,LOWER EAST SIDE          
1960,440000,MIDTOWN CBD              
1924,440000,MIDTOWN EAST             
1963,440000,MIDTOWN EAST             
1968,440000,MIDTOWN EAST             
1964,440000,MURRAY HILL              
1964,440000,MURRAY HILL              
1963,440000,MURRAY HILL              
1960,440000,MURRAY HILL              
1900,440000,SOHO                     
1925,440000,UPPER EAST SIDE (79-96)  
1961,440000,UPPER EAST SIDE (79-96)  
1940,440000,UPPER EAST SIDE (79-96)  
1925,440000,UPPER EAST SIDE (79-96)  
1915,440000,UPPER EAST SIDE (79-96)  
1920,440000,UPPER WEST SIDE (79-96)  
1926,440000,UPPER WEST SIDE (79-96)  
1925,440000,UPPER WEST SIDE (96-116) 
1951,440000,WASHINGTON HEIGHTS UPPER 
1963,440000,WASHINGTON HEIGHTS UPPER 
1987,439700,FINANCIAL                
1870,439000,GREENWICH VILLAGE-CENTRAL
2004,439000,HARLEM-EAST              
1920,439000,HARLEM-UPPER             
1928,439000,MIDTOWN EAST             
1964,439000,MURRAY HILL              
1900,439000,UPPER WEST SIDE (96-116) 
1925,438961,UPPER WEST SIDE (96-116) 
1956,438600,MIDTOWN EAST             
1910,438600,UPPER EAST SIDE (59-79)  
1963,438577,UPPER EAST SIDE (79-96)  
1962,438000,MIDTOWN EAST             
1986,438000,TRIBECA                  
1980,438000,UPPER EAST SIDE (79-96)  
1957,437171,CLINTON                  
1928,437000,MIDTOWN EAST             
1990,437000,TRIBECA                  
1960,437000,UPPER EAST SIDE (59-79)  
1959,436725,MURRAY HILL              
1930,436500,CHELSEA                  
1964,436250,GRAMERCY                 
1960,436000,MIDTOWN CBD              
1925,436000,WASHINGTON HEIGHTS UPPER 
2009,435006,HARLEM-UPPER             
1940,435000,CHELSEA                  
1988,435000,CLINTON                  
1920,435000,EAST VILLAGE             
1926,435000,FINANCIAL                
1964,435000,FLATIRON                 
1963,435000,GRAMERCY                 
1965,435000,GRAMERCY                 
1965,435000,GRAMERCY                 
1900,435000,GREENWICH VILLAGE-CENTRAL
1930,435000,GREENWICH VILLAGE-CENTRAL
1930,435000,GREENWICH VILLAGE-CENTRAL
1959,435000,GREENWICH VILLAGE-WEST   
1939,435000,INWOOD                   
1963,435000,JAVITS CENTER            
1963,435000,JAVITS CENTER            
1955,435000,LOWER EAST SIDE          
1924,435000,MIDTOWN CBD              
1928,435000,MIDTOWN EAST             
1935,435000,MIDTOWN WEST             
1956,435000,MORNINGSIDE HEIGHTS      
1959,435000,MURRAY HILL              
1986,435000,TRIBECA                  
1930,435000,UPPER EAST SIDE (79-96)  
1965,435000,UPPER EAST SIDE (79-96)  
1926,435000,UPPER WEST SIDE (79-96)  
1925,435000,WASHINGTON HEIGHTS UPPER 
1957,434300,GREENWICH VILLAGE-CENTRAL
2012,433992,WASHINGTON HEIGHTS LOWER 
2012,433992,WASHINGTON HEIGHTS LOWER 
2012,433992,WASHINGTON HEIGHTS LOWER 
2012,433992,WASHINGTON HEIGHTS LOWER 
1910,433500,GREENWICH VILLAGE-WEST   
1960,433010,UPPER EAST SIDE (59-79)  
1954,433000,WASHINGTON HEIGHTS UPPER 
1963,432500,UPPER EAST SIDE (79-96)  
1960,432048,UPPER EAST SIDE (59-79)  
1910,432000,WASHINGTON HEIGHTS LOWER 
1928,431000,UPPER EAST SIDE (59-79)  
1959,431000,UPPER EAST SIDE (96-110) 
1964,431000,UPPER WEST SIDE (79-96)  
1910,430000,ALPHABET CITY            
1920,430000,ALPHABET CITY            
1950,430000,ALPHABET CITY            
1957,430000,CLINTON                  
1962,430000,GRAMERCY                 
1964,430000,GRAMERCY                 
1972,430000,GRAMERCY                 
1965,430000,GRAMERCY                 
1915,430000,GREENWICH VILLAGE-WEST   
1961,430000,GREENWICH VILLAGE-WEST   
1925,430000,HARLEM-CENTRAL           
1929,430000,LOWER EAST SIDE          
1890,430000,MANHATTAN VALLEY         
1960,430000,MIDTOWN EAST             
1960,430000,MIDTOWN EAST             
1928,430000,MIDTOWN EAST             
1929,430000,MIDTOWN EAST             
1928,430000,MIDTOWN EAST             
1960,430000,MIDTOWN EAST             
1939,430000,MIDTOWN EAST             
1968,430000,MIDTOWN EAST             
1920,430000,MIDTOWN WEST             
1964,430000,MURRAY HILL              
1955,430000,MURRAY HILL              
1990,430000,TRIBECA                  
1908,430000,UPPER EAST SIDE (59-79)  
1964,430000,UPPER EAST SIDE (59-79)  
1920,430000,UPPER EAST SIDE (79-96)  
1923,430000,UPPER EAST SIDE (79-96)  
1925,430000,UPPER EAST SIDE (79-96)  
1900,430000,UPPER WEST SIDE (59-79)  
1917,430000,WASHINGTON HEIGHTS UPPER 
1987,430000,WASHINGTON HEIGHTS UPPER 
1920,429000,CHELSEA                  
1915,429000,GREENWICH VILLAGE-WEST   
1890,429000,MANHATTAN VALLEY         
1924,429000,MIDTOWN EAST             
1928,429000,MIDTOWN EAST             
1964,429000,MIDTOWN WEST             
1939,429000,WASHINGTON HEIGHTS UPPER 
1907,428000,FASHION                  
1901,428000,HARLEM-CENTRAL           
1957,428000,MURRAY HILL              
1930,427500,CHELSEA                  
1955,427500,LOWER EAST SIDE          
1920,427000,UPPER EAST SIDE (79-96)  
1915,426000,GREENWICH VILLAGE-WEST   
1959,426000,GREENWICH VILLAGE-WEST   
1960,426000,MIDTOWN EAST             
1963,426000,MURRAY HILL              
1920,426000,UPPER EAST SIDE (79-96)  
1975,426000,UPPER WEST SIDE (59-79)  
1926,425880,HARLEM-UPPER             
1920,425880,UPPER EAST SIDE (79-96)  
1963,425880,UPPER EAST SIDE (79-96)  
1950,425000,CHELSEA                  
1926,425000,FINANCIAL                
1963,425000,GRAMERCY                 
1963,425000,GRAMERCY                 
1963,425000,GRAMERCY                 
1926,425000,GREENWICH VILLAGE-CENTRAL
1915,425000,GREENWICH VILLAGE-WEST   
1915,425000,GREENWICH VILLAGE-WEST   
1910,425000,HARLEM-CENTRAL           
2008,425000,HARLEM-CENTRAL           
1910,425000,HARLEM-CENTRAL           
1960,425000,JAVITS CENTER            
1963,425000,JAVITS CENTER            
1960,425000,LOWER EAST SIDE          
1949,425000,LOWER EAST SIDE          
1963,425000,MIDTOWN EAST             
1928,425000,MIDTOWN EAST             
1928,425000,MIDTOWN EAST             
1939,425000,MIDTOWN EAST             
1962,425000,MIDTOWN EAST             
1981,425000,MIDTOWN EAST             
1957,425000,MURRAY HILL              
1955,425000,MURRAY HILL              
1963,425000,UPPER EAST SIDE (59-79)  
1963,425000,UPPER EAST SIDE (59-79)  
1964,425000,UPPER EAST SIDE (59-79)  
1963,425000,UPPER EAST SIDE (59-79)  
1966,425000,UPPER EAST SIDE (59-79)  
1962,425000,UPPER EAST SIDE (59-79)  
1962,425000,UPPER EAST SIDE (79-96)  
1963,425000,UPPER EAST SIDE (79-96)  
1900,425000,UPPER WEST SIDE (59-79)  
1920,425000,UPPER WEST SIDE (79-96)  
1930,425000,UPPER WEST SIDE (79-96)  
1930,425000,UPPER WEST SIDE (96-116) 
1954,425000,WASHINGTON HEIGHTS UPPER 
1942,425000,WASHINGTON HEIGHTS UPPER 
1920,424866,CHELSEA                  
1949,423000,LOWER EAST SIDE          
1964,422450,FLATIRON                 
1962,422000,SOHO                     
1942,421687,WASHINGTON HEIGHTS UPPER 
1962,421500,UPPER EAST SIDE (59-79)  
1925,421114,INWOOD                   
1963,421000,JAVITS CENTER            
1961,421000,UPPER EAST SIDE (59-79)  
1963,421000,UPPER EAST SIDE (59-79)  
1920,421000,UPPER EAST SIDE (79-96)  
1917,421000,WASHINGTON HEIGHTS UPPER 
2012,420810,WASHINGTON HEIGHTS LOWER 
2012,420810,WASHINGTON HEIGHTS LOWER 
1920,420000,ALPHABET CITY            
1900,420000,CHELSEA                  
1956,420000,FINANCIAL                
1910,420000,FLATIRON                 
1965,420000,GRAMERCY                 
1965,420000,GRAMERCY                 
1965,420000,GREENWICH VILLAGE-CENTRAL
1920,420000,LOWER EAST SIDE          
1929,420000,LOWER EAST SIDE          
1960,420000,MIDTOWN EAST             
1951,420000,MIDTOWN EAST             
1935,420000,MIDTOWN WEST             
1940,420000,MURRAY HILL              
1966,420000,UPPER EAST SIDE (59-79)  
1964,420000,UPPER EAST SIDE (59-79)  
1964,420000,UPPER EAST SIDE (59-79)  
1955,420000,UPPER EAST SIDE (79-96)  
1910,420000,UPPER WEST SIDE (59-79)  
1962,420000,UPPER WEST SIDE (59-79)  
1916,420000,UPPER WEST SIDE (79-96)  
1942,420000,WASHINGTON HEIGHTS UPPER 
1962,419000,UPPER EAST SIDE (59-79)  
1920,419000,UPPER EAST SIDE (79-96)  
1912,418000,HARLEM-UPPER             
1959,418000,MIDTOWN EAST             
1910,418000,UPPER EAST SIDE (79-96)  
1907,417100,FASHION                  
1989,415000,CHINATOWN                
1926,415000,FINANCIAL                
1976,415000,GRAMERCY                 
1964,415000,KIPS BAY                 
1964,415000,KIPS BAY                 
1920,415000,LOWER EAST SIDE          
1962,415000,MIDTOWN EAST             
1928,415000,MIDTOWN EAST             
1920,415000,MIDTOWN WEST             
1924,415000,MIDTOWN WEST             
1956,415000,MORNINGSIDE HEIGHTS      
1962,415000,MURRAY HILL              
1962,415000,MURRAY HILL              
1910,415000,UPPER EAST SIDE (59-79)  
1959,415000,UPPER EAST SIDE (59-79)  
1980,415000,UPPER EAST SIDE (79-96)  
1930,415000,UPPER WEST SIDE (96-116) 
1942,415000,WASHINGTON HEIGHTS UPPER 
1952,414950,GREENWICH VILLAGE-CENTRAL
1931,414000,MURRAY HILL              
1963,412500,GRAMERCY                 
1900,412500,HARLEM-EAST              
1964,412500,UPPER EAST SIDE (59-79)  
1961,412500,UPPER EAST SIDE (79-96)  
1964,412000,GRAMERCY                 
1963,412000,UPPER EAST SIDE (59-79)  
1920,411070,CHELSEA                  
1965,411000,MURRAY HILL              
1910,410000,ALPHABET CITY            
1940,410000,CLINTON                  
1965,410000,GRAMERCY                 
1926,410000,GREENWICH VILLAGE-CENTRAL
1957,410000,HARLEM-CENTRAL           
1910,410000,HARLEM-CENTRAL           
2005,410000,HARLEM-UPPER             
1960,410000,JAVITS CENTER            
1965,410000,KIPS BAY                 
1964,410000,KIPS BAY                 
1920,410000,LOWER EAST SIDE          
1949,410000,LOWER EAST SIDE          
1963,410000,MIDTOWN EAST             
1963,410000,MIDTOWN EAST             
1930,410000,MIDTOWN EAST             
1964,410000,MIDTOWN EAST             
1939,410000,MIDTOWN EAST             
1968,410000,MIDTOWN EAST             
1931,410000,MIDTOWN EAST             
1920,410000,MIDTOWN WEST             
1940,410000,MIDTOWN WEST             
1957,410000,MIDTOWN WEST             
1955,410000,MURRAY HILL              
1935,410000,MURRAY HILL              
1966,410000,UPPER EAST SIDE (59-79)  
1963,410000,UPPER EAST SIDE (59-79)  
1962,410000,UPPER EAST SIDE (59-79)  
1964,410000,UPPER EAST SIDE (59-79)  
1910,410000,UPPER EAST SIDE (79-96)  
1928,410000,UPPER EAST SIDE (79-96)  
1905,410000,UPPER EAST SIDE (79-96)  
1910,410000,UPPER WEST SIDE (59-79)  
1923,410000,UPPER WEST SIDE (59-79)  
1900,410000,UPPER WEST SIDE (79-96)  
1916,410000,UPPER WEST SIDE (79-96)  
1928,410000,WASHINGTON HEIGHTS UPPER 
1920,409000,CHELSEA                  
1963,408000,UPPER EAST SIDE (59-79)  
1959,407500,UPPER EAST SIDE (79-96)  
1928,407000,MIDTOWN EAST             
1984,407000,MURRAY HILL              
1962,406850,GRAMERCY                 
1903,405807,FINANCIAL                
1920,405600,HARLEM-UPPER             
1926,405600,HARLEM-UPPER             
1984,405600,MURRAY HILL              
1962,405600,UPPER EAST SIDE (59-79)  
2001,405000,HARLEM-CENTRAL           
1926,405000,HARLEM-WEST              
1929,405000,MIDTOWN EAST             
1964,405000,MIDTOWN EAST             
1912,405000,MURRAY HILL              
1964,405000,MURRAY HILL              
1963,405000,UPPER EAST SIDE (59-79)  
1964,405000,UPPER EAST SIDE (59-79)  
1958,405000,UPPER EAST SIDE (59-79)  
1928,405000,UPPER EAST SIDE (59-79)  
1940,405000,UPPER EAST SIDE (59-79)  
1910,405000,UPPER EAST SIDE (79-96)  
1974,405000,UPPER EAST SIDE (79-96)  
1985,405000,UPPER EAST SIDE (79-96)  
1920,405000,UPPER WEST SIDE (79-96)  
1923,405000,UPPER WEST SIDE (96-116) 
1939,405000,WASHINGTON HEIGHTS UPPER 
1951,405000,WASHINGTON HEIGHTS UPPER 
1926,405000,WASHINGTON HEIGHTS UPPER 
1987,405000,WASHINGTON HEIGHTS UPPER 
1965,404200,GRAMERCY                 
1957,404004,CLINTON                  
2010,403572,HARLEM-EAST              
1942,403302,MURRAY HILL              
1926,403000,MORNINGSIDE HEIGHTS      
1928,402500,MIDTOWN EAST             
1939,402000,MIDTOWN EAST             
1920,402000,UPPER EAST SIDE (79-96)  
1910,402000,WASHINGTON HEIGHTS UPPER 
1923,401001,UPPER EAST SIDE (79-96)  
1964,401000,MURRAY HILL              
1960,400530,MIDTOWN CBD              
1963,400530,MIDTOWN EAST             
2012,400530,WASHINGTON HEIGHTS LOWER 
1920,400000,CLINTON                  
1964,400000,FLATIRON                 
1926,400000,GREENWICH VILLAGE-CENTRAL
1911,400000,GREENWICH VILLAGE-WEST   
1900,400000,GREENWICH VILLAGE-WEST   
1957,400000,HARLEM-CENTRAL           
2009,400000,HARLEM-CENTRAL           
1908,400000,HARLEM-UPPER             
1920,400000,LOWER EAST SIDE          
1960,400000,LOWER EAST SIDE          
1955,400000,LOWER EAST SIDE          
1960,400000,MIDTOWN CBD              
1962,400000,MIDTOWN EAST             
1962,400000,MIDTOWN EAST             
1977,400000,MIDTOWN EAST             
1928,400000,MIDTOWN EAST             
1968,400000,MIDTOWN EAST             
1931,400000,MIDTOWN EAST             
1930,400000,MIDTOWN EAST             
1930,400000,MIDTOWN EAST             
1930,400000,MIDTOWN WEST             
1926,400000,MORNINGSIDE HEIGHTS      
1984,400000,MURRAY HILL              
1920,400000,SOHO                     
1900,400000,UPPER EAST SIDE (59-79)  
1975,400000,UPPER EAST SIDE (59-79)  
1918,400000,UPPER EAST SIDE (59-79)  
1959,400000,UPPER EAST SIDE (59-79)  
1964,400000,UPPER EAST SIDE (59-79)  
1963,400000,UPPER EAST SIDE (59-79)  
1963,400000,UPPER EAST SIDE (59-79)  
1963,400000,UPPER EAST SIDE (59-79)  
1961,400000,UPPER EAST SIDE (79-96)  
1961,400000,UPPER EAST SIDE (79-96)  
1959,400000,UPPER EAST SIDE (79-96)  
1959,400000,UPPER EAST SIDE (79-96)  
1961,400000,UPPER EAST SIDE (79-96)  
1961,400000,UPPER EAST SIDE (79-96)  
1985,400000,UPPER EAST SIDE (79-96)  
1963,400000,UPPER EAST SIDE (79-96)  
1927,400000,UPPER WEST SIDE (59-79)  
1925,400000,UPPER WEST SIDE (59-79)  
1920,400000,UPPER WEST SIDE (79-96)  
1926,400000,UPPER WEST SIDE (79-96)  
1930,400000,UPPER WEST SIDE (96-116) 
1914,400000,WASHINGTON HEIGHTS LOWER 
1909,400000,WASHINGTON HEIGHTS UPPER 
1920,400000,WASHINGTON HEIGHTS UPPER 
1959,400000,WASHINGTON HEIGHTS UPPER 
1964,399500,KIPS BAY                 
1957,399500,MURRAY HILL              
1905,399500,UPPER WEST SIDE (59-79)  
1950,399500,UPPER WEST SIDE (59-79)  
1956,399200,UPPER EAST SIDE (59-79)  
1928,399000,CHELSEA                  
1928,399000,CHELSEA                  
1930,399000,CHELSEA                  
1910,399000,CLINTON                  
1926,399000,FINANCIAL                
1931,399000,GRAMERCY                 
1961,399000,GRAMERCY                 
1930,399000,GREENWICH VILLAGE-CENTRAL
1920,399000,HARLEM-UPPER             
1900,399000,LOWER EAST SIDE          
1968,399000,MIDTOWN EAST             
1951,399000,MIDTOWN EAST             
1955,399000,MIDTOWN EAST             
1962,399000,MIDTOWN WEST             
1941,399000,MURRAY HILL              
1938,399000,MURRAY HILL              
1940,399000,MURRAY HILL              
1940,399000,MURRAY HILL              
1900,399000,UPPER EAST SIDE (59-79)  
1961,399000,UPPER EAST SIDE (59-79)  
1960,399000,UPPER EAST SIDE (59-79)  
1915,399000,UPPER WEST SIDE (59-79)  
1939,399000,UPPER WEST SIDE (79-96)  
1930,399000,UPPER WEST SIDE (96-116) 
1925,399000,WASHINGTON HEIGHTS UPPER 
1920,398500,ALPHABET CITY            
1955,398000,MURRAY HILL              
1925,396000,HARLEM-CENTRAL           
1964,396000,UPPER EAST SIDE (59-79)  
1963,396000,UPPER EAST SIDE (59-79)  
1964,396000,UPPER EAST SIDE (59-79)  
1920,395536,UPPER EAST SIDE (79-96)  
1920,395000,CLINTON                  
1910,395000,CLINTON                  
1956,395000,GRAMERCY                 
1930,395000,GREENWICH VILLAGE-CENTRAL
1926,395000,GREENWICH VILLAGE-CENTRAL
1957,395000,HARLEM-CENTRAL           
1960,395000,JAVITS CENTER            
1949,395000,LOWER EAST SIDE          
1928,395000,MIDTOWN EAST             
1957,395000,MIDTOWN EAST             
1940,395000,MORNINGSIDE HEIGHTS      
1954,395000,MURRAY HILL              
1962,395000,UPPER EAST SIDE (59-79)  
1923,395000,UPPER EAST SIDE (59-79)  
1910,395000,UPPER EAST SIDE (79-96)  
1915,395000,UPPER WEST SIDE (59-79)  
1950,395000,UPPER WEST SIDE (59-79)  
1910,395000,UPPER WEST SIDE (79-96)  
1920,395000,UPPER WEST SIDE (79-96)  
1931,395000,UPPER WEST SIDE (79-96)  
1901,394000,CLINTON                  
1951,394000,MIDTOWN EAST             
1932,394000,MURRAY HILL              
1965,393000,MURRAY HILL              
1959,393000,WASHINGTON HEIGHTS UPPER 
1964,392500,GRAMERCY                 
1953,392500,MURRAY HILL              
1920,392000,CLINTON                  
1910,392000,HARLEM-CENTRAL           
1921,392000,UPPER WEST SIDE (79-96)  
1961,391800,UPPER EAST SIDE (79-96)  
1965,390500,UPPER WEST SIDE (59-79)  
1910,390500,UPPER WEST SIDE (79-96)  
1920,390390,HARLEM-UPPER             
2012,390390,WASHINGTON HEIGHTS LOWER 
2012,390390,WASHINGTON HEIGHTS LOWER 
1910,390000,CLINTON                  
1957,390000,CLINTON                  
1896,390000,HARLEM-CENTRAL           
2006,390000,HARLEM-EAST              
2006,390000,HARLEM-EAST              
1908,390000,HARLEM-UPPER             
1910,390000,KIPS BAY                 
1930,390000,MIDTOWN EAST             
1963,390000,MIDTOWN EAST             
1959,390000,MIDTOWN EAST             
1968,390000,MIDTOWN EAST             
1930,390000,MIDTOWN EAST             
1926,390000,MORNINGSIDE HEIGHTS      
1926,390000,MORNINGSIDE HEIGHTS      
1925,390000,MURRAY HILL              
1958,390000,MURRAY HILL              
1963,390000,MURRAY HILL              
1910,390000,UPPER EAST SIDE (59-79)  
1910,390000,UPPER EAST SIDE (59-79)  
1964,390000,UPPER EAST SIDE (59-79)  
1963,390000,UPPER EAST SIDE (59-79)  
1958,390000,UPPER EAST SIDE (59-79)  
1923,390000,UPPER EAST SIDE (96-110) 
1975,390000,UPPER WEST SIDE (59-79)  
1905,390000,UPPER WEST SIDE (96-116) 
1900,389914,UPPER WEST SIDE (59-79)  
2004,389500,HARLEM-CENTRAL           
1904,389000,MANHATTAN VALLEY         
1963,389000,MURRAY HILL              
1938,389000,UPPER EAST SIDE (59-79)  
1910,389000,UPPER EAST SIDE (79-96)  
1929,388000,MIDTOWN EAST             
1963,388000,UPPER EAST SIDE (59-79)  
1910,387600,GREENWICH VILLAGE-WEST   
1910,387250,UPPER EAST SIDE (59-79)  
1964,386000,UPPER EAST SIDE (59-79)  
2012,385320,WASHINGTON HEIGHTS LOWER 
2012,385320,WASHINGTON HEIGHTS LOWER 
1900,385000,EAST VILLAGE             
1915,385000,GREENWICH VILLAGE-WEST   
1949,385000,LOWER EAST SIDE          
1957,385000,MIDTOWN EAST             
